player_id,Bowler,Matches,Overs,Wickets
110,Muralitharan,133,7339.5,800
135,S Warne,145,6784.1,708
65,James Anderson,188,6672.5,704
98,A Kumble,132,6808.2,619
554,Broad,167,5616.2,604
41,G McGrath,124,4874.4,563
7850,Lyon,140,5752.2,562
1593,Ashwin,106,4541,537
4194,C Walsh,132,5003.1,519
508,Steyn,93,3101.2,439
3838,K Dev,131,4623.2,434
277,Herath,93,4332,433
3997,R Hadlee,86,3461.4,431
218,S Pollock,108,4058.5,421
75,Harbhajan,103,4763.2,417
3688,W Akram,104,3771.1,414
7710,Mitchell Starc,101,3207.1,412
4202,C Ambrose,98,3683.5,405
1057,Southee,107,3915,391
216,M Ntini,101,3472.2,390
5321,I Botham,102,3550.3,383
4182,M Marshall,81,2930.4,376
3706,W Younis,87,2704,373
205,Vettori,113,4802.2,362
3647,I Khan,88,3107.2,362
108,C Vaas,111,3906.2,355
4636,D Lillee,70,2836.1,355
587,Ravindra Jadeja,89,3373.3,348
9585,Rabada,73,2239.2,340
4582,A Donald,72,2586.3,330
