Team,Matches Played,Won,Lost
Australia,2104,1156,676
England,2115,919,790
India,1909,916,702
Bangladesh,802,263,505
Afghanistan,336,180,145
Ireland,395,158,207
Canada,193,76,109
Hong Kong,145,62,77
Bahrain,100,57,38
Austria,80,52,25
Bermuda,88,40,47
Germany,64,39,25
Belgium,57,31,25
Indonesia,70,30,38
Czech Republic,49,24,24
Italy,36,24,11
Botswana,53,21,31
Denmark,45,21,22
Cayman Islands,41,20,21
Ghana,47,20,26
Guernsey,49,20,25
Hungary,46,20,24
Bulgaria,56,18,35
Finland,40,18,21
Argentina,28,16,12
Cambodia,36,16,19
France,35,16,18
Gibraltar,51,16,34
Cyprus,26,14,12
Isle of Man,26,12,12
Estonia,34,11,23
Bhutan,32,10,22
Eswatini,37,10,24
Bahamas,36,9,27
Cook Islands,17,8,9
Costa Rica,18,8,10
Fiji,16,8,8
Belize,17,7,10
Asia XI,7,4,2
Brazil,13,4,9
Croatia,27,4,22
Cameroon,22,3,18
Greece,15,3,11
Israel,9,3,6
China,11,2,9
ICC World XI,9,2,7
Africa XI,6,1,4
Chile,6,1,5
Falkland Islands,6,1,5
Gambia,12,1,11
East Africa,3,0,3
Iran,3,0,3
Ivory Coast,5,0,5
