venue,city,country,capacity
Narendra Modi Stadium,Ahmedabad,India,132000
Melbourne Cricket Ground,Melbourne,Australia,100024
Eden Gardens,Kolkata,India,68000
Shaheed Veer Narayan Singh International Cricket Stadium,Naya Raipur,India,65000
Perth Stadium (Optus Stadium),Perth,Australia,61266
Gwalior International Cricket Stadium,Gwalior,India,60000
Rajiv Gandhi International Cricket Stadium,Hyderabad,India,55000
DY Patil Stadium,Navi Mumbai,India,55000
Adelaide Oval,Adelaide,Australia,53583
Greenfield International Stadium,Thiruvananthapuram,India,50000
Brabourne Stadium,Mumbai,India,50000
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,50000
